w1,w2,w3,thetaA,f1
0.50,0.00,0.50,0.18,0.0017
0.50,0.00,0.50,0.08,0.0017
0.00,0.00,1.00,0.23,0.0017
0.50,0.00,0.50,0.20,0.0017
0.33,0.33,0.33,0.53,0.0017
0.00,0.00,1.00,0.30,0.0017
0.00,0.00,1.00,0.28,0.0016
0.00,0.00,1.00,0.25,0.0016
0.00,0.50,0.50,0.68,0.0016
0.50,0.40,0.10,0.50,0.0016
0.00,0.00,1.00,0.33,0.0016
0.50,0.00,0.50,0.23,0.0016
0.00,0.00,1.00,0.35,0.0015
0.00,0.00,1.00,0.38,0.0015
0.50,0.00,0.50,0.25,0.0015
0.00,0.00,1.00,0.40,0.0014
0.33,0.33,0.33,0.55,0.0014
0.00,0.00,1.00,0.43,0.0014
0.50,0.00,0.50,0.28,0.0014
0.00,0.50,0.50,0.70,0.0014
0.00,0.00,1.00,0.48,0.0014
0.00,0.00,1.00,0.45,0.0014
0.50,0.00,0.50,0.30,0.0013
0.00,0.00,1.00,0.53,0.0013
0.00,0.00,1.00,0.50,0.0013
0.50,0.00,0.50,0.33,0.0013
0.50,0.00,0.50,0.40,0.0013
0.00,0.00,1.00,0.55,0.0013
0.00,0.00,1.00,0.58,0.0013
0.50,0.00,0.50,0.35,0.0013
0.00,0.00,1.00,0.63,0.0013
0.50,0.00,0.50,0.38,0.0013
0.00,0.00,1.00,0.60,0.0013
0.50,0.00,0.50,0.43,0.0012
0.00,0.00,1.00,0.65,0.0012
0.00,0.00,1.00,0.68,0.0012
0.00,0.00,1.00,0.70,0.0011
0.50,0.00,0.50,0.45,0.0011
0.33,0.33,0.33,0.58,0.0011
0.50,0.00,0.50,0.48,0.0010
0.50,0.40,0.10,0.53,0.0010
0.33,0.33,0.33,0.60,0.0010
0.00,0.00,1.00,0.73,0.0010
0.00,0.50,0.50,0.73,0.0010
0.33,0.33,0.33,0.63,0.0009
0.00,0.50,0.50,0.75,0.0008
0.50,0.00,0.50,0.50,0.0008
0.50,0.40,0.10,0.55,0.0008
0.33,0.33,0.33,0.65,0.0008
0.00,0.00,1.00,0.75,0.0008
0.00,0.50,0.50,0.78,0.0007
0.00,0.00,1.00,0.78,0.0006
0.50,0.00,0.50,0.53,0.0006
